Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
2020,Data Scientist,MI,FT,6352272,DE,DE,L,0
2020,Machine Learning Scientist,SE,FT,20688070,JP,JP,S,0
2020,Big Data Engineer,SE,FT,8674985,GB,GB,M,50
2020,Product Data Analyst,MI,FT,1591390,HN,HN,S,0
2020,Machine Learning Engineer,SE,FT,11935425,US,US,L,50
2020,Data Analyst,EN,FT,5729004,US,US,L,100
2020,Lead Data Scientist,SE,FT,15118205,US,US,S,100
2020,Data Scientist,MI,FT,2843416,HU,HU,L,50
2020,Business Data Analyst,MI,FT,10741883,US,US,L,100
2020,Lead Data Engineer,SE,FT,9946188,NZ,NZ,S,50
2020,Data Scientist,EN,FT,4083586,FR,FR,S,0
2020,Data Scientist,MI,FT,3221053,IN,IN,L,0
2020,Data Scientist,EN,FT,3176096,FR,FR,M,0
2020,Lead Data Analyst,MI,FT,6922547,US,US,L,100
2020,Data Analyst,MI,FT,6763408,US,US,L,100
2020,Data Analyst,MI,FT,636556,PK,PK,L,50
2020,Data Engineer,EN,FT,3317173,JP,JP,S,100
2020,Big Data Engineer,SE,FT,9074663,PL,GB,S,100
2020,Data Science Consultant,EN,FT,454103,IN,IN,M,50
2020,Lead Data Engineer,MI,FT,4455892,PT,US,M,100
2020,Machine Learning Engineer,MI,FT,3447826,CN,CN,M,0
2020,Product Data Analyst,MI,FT,483146,IN,IN,L,100
2020,Data Engineer,SE,FT,3811299,GR,GR,L,50
2020,BI Data Analyst,MI,FT,7797811,US,US,M,0
2020,Lead Data Scientist,MI,FT,9150493,AE,AE,L,0
2020,Director of Data Science,EX,FT,25860088,US,US,L,100
2020,Research Scientist,EN,FT,3341919,NL,NL,L,50
2020,Data Engineer,SE,FT,2666454,MX,MX,S,0
2020,Business Data Analyst,EN,CT,7956950,US,US,L,100
2020,Machine Learning Manager,SE,FT,9317907,CA,CA,L,50
2020,Data Engineering Manager,MI,FT,4718710,DE,DE,S,100
2020,Big Data Engineer,EN,FT,5569865,US,US,L,100
2020,Data Scientist,SE,FT,5444782,GR,US,L,100
2020,Research Scientist,MI,FT,35806275,US,US,M,0
2020,Data Analyst,MI,FT,3720590,FR,FR,L,50
2020,Data Engineer,MI,FT,5898487,AT,AT,L,50
2020,Data Science Consultant,MI,FT,8195659,US,US,L,100
2020,Machine Learning Engineer,EN,FT,19892375,US,US,L,50
2020,Data Analyst,EN,FT,795695,NG,NG,S,100
2020,Machine Learning Engineer,EN,FT,10980591,US,US,S,100
2020,Data Scientist,MI,FT,3641100,PH,US,S,100
2020,Data Engineering Manager,EX,FT,6352272,ES,ES,L,50
2020,Machine Learning Infrastructure Engineer,MI,FT,3992798,PT,PT,M,0
2020,Data Engineer,MI,FT,8434367,US,US,L,100
2020,Data Engineer,MI,FT,8981169,GB,GB,L,50
2020,ML Engineer,EN,PT,1270407,DE,DE,S,100
2020,Data Scientist,MI,FT,6123510,GB,GB,S,100
2020,Data Engineer,SE,FT,14959066,US,US,L,100
2020,Data Scientist,MI,FT,8354798,US,US,L,100
2020,Data Engineer,MI,FT,5580925,FR,FR,L,50
2020,Data Analyst,EN,FT,483146,IN,IN,S,0
2020,Data Analyst,EN,FT,7240825,US,US,L,100
2020,AI Scientist,EN,FT,3651922,DK,DK,S,50
2020,Data Engineer,EN,FT,4355794,PK,DE,L,100
2020,Computer Vision Engineer,SE,FL,4774170,RU,US,S,100
2020,Principal Data Scientist,SE,FT,11797054,DE,DE,M,100
2020,Data Scientist,MI,FT,3085387,ES,ES,M,100
2020,Data Scientist,MI,FT,9389201,US,US,M,100
2020,Data Scientist,SE,FT,9548340,US,US,L,50
2020,Data Scientist,MI,FT,11008440,US,US,M,100
2020,Data Engineer,MI,FT,8752645,US,US,L,100
2020,Data Engineer,MI,FT,10407691,ES,US,M,100
2020,Data Scientist,EN,PT,1724191,IT,IT,S,50
2020,Data Scientist,SE,FT,32782634,US,US,L,100
2020,Machine Learning Engineer,SE,FT,3629801,HR,HR,S,100
2020,Data Scientist,EN,FT,4991076,DE,DE,S,50
2020,Data Scientist,EN,FT,3920230,DE,DE,S,0
2020,Data Science Manager,SE,FT,15134119,US,US,M,100
2020,Data Scientist,EN,FT,8354798,US,US,S,100
2020,Data Scientist,SE,FT,7259682,AT,AT,S,0
2020,Data Scientist,MI,FT,4991076,FR,LU,S,50
2020,Data Scientist,MI,FT,3357594,FR,FR,S,50
2021,Research Scientist,EN,FT,6566712,GB,GB,L,50
2021,BI Data Analyst,EX,FT,11935425,IN,US,L,100
2021,Head of Data,EX,FT,18698833,US,US,L,100
2021,Data Scientist,SE,FT,4232461,FR,FR,L,50
2021,BI Data Analyst,MI,FT,7956950,US,US,M,100
2021,3D Computer Vision Researcher,MI,PT,430391,IN,IN,M,50
2021,ML Engineer,MI,CT,21483765,US,US,L,100
2021,Data Analyst,EN,FT,6365560,US,US,M,100
2021,Data Analytics Engineer,SE,FT,6301666,DE,DE,L,100
2021,Data Engineer,MI,FT,11139730,US,US,L,100
2021,Applied Data Scientist,MI,FT,4315691,GB,CA,L,50
2021,Machine Learning Engineer,MI,FT,3762205,ES,ES,S,100
2021,Director of Data Science,EX,FT,12227206,IT,PL,L,100
2021,Data Engineer,MI,FT,2265821,PL,PL,L,100
2021,Data Analyst,EN,FT,4702717,FR,FR,M,50
2021,Data Analytics Engineer,MI,FT,8752645,US,US,L,100
2021,Lead Data Analyst,SE,FT,13526815,US,US,L,100
2021,Data Analyst,SE,FT,6365560,BG,US,S,100
2021,Marketing Data Analyst,SE,FT,7054154,GR,DK,L,100
2021,Data Science Consultant,EN,FT,6113563,DE,DE,S,100
2021,Lead Data Analyst,MI,FT,1560278,IN,IN,L,100
2021,Lead Data Engineer,SE,FT,21961182,US,US,L,0
2021,Data Scientist,EN,FT,2367272,IN,IN,L,50
2021,Cloud Data Engineer,MI,FT,7105079,SG,SG,L,50
2021,AI Scientist,EN,PT,954834,BR,US,S,100
2021,Financial Data Analyst,MI,FT,35806275,US,US,L,100
2021,Computer Vision Software Engineer,EN,FT,5569865,US,US,M,100
2021,Computer Vision Software Engineer,MI,FT,7618461,DE,US,S,100
2021,Data Analyst,MI,FT,5967713,US,US,L,0
2021,Data Engineer,SE,FT,11935425,US,US,L,100
2021,BI Data Analyst,MI,FT,2885111,HU,US,L,50
2021,Data Analyst,MI,FT,4933309,US,US,L,0
2021,Data Scientist,MI,FT,5808574,US,US,L,0
2021,Data Analyst,MI,FT,4099341,GB,GB,L,50
2021,Research Scientist,MI,FT,14914666,CA,CA,L,100
2021,Data Engineer,SE,FT,9150493,US,US,S,100
2021,Data Engineer,SE,FT,11935425,US,US,M,100
2021,Data Engineer,EN,FT,2421141,IN,IN,L,100
2021,Machine Learning Engineer,SE,FT,7524410,DE,DE,L,50
2021,Director of Data Engineering,SE,FT,9029229,GB,GB,M,100
2021,Lead Data Engineer,SE,FT,8208390,GB,GB,S,100
2021,AI Scientist,EN,PT,954834,PK,US,M,100
2021,Data Engineer,MI,FT,3611739,NL,NL,L,100
2021,Machine Learning Scientist,EN,FT,17903138,US,US,L,100
2021,Data Scientist,MI,FT,3978475,NG,NG,L,100
2021,Data Science Engineer,MI,FT,3197819,GR,GR,M,100
2021,Data Analyst,EN,FT,7161255,US,US,S,100
2021,Data Engineer,MI,FT,15913900,US,US,L,100
2021,Big Data Engineer,MI,FT,4774170,ES,RO,M,50
2021,Principal Data Engineer,SE,FT,15913900,US,US,M,100
2021,Data Analyst,EN,FT,3978475,US,US,M,100
2021,Applied Data Scientist,EN,FT,8755589,GB,GB,L,0
2021,Data Analyst,EN,PT,823863,ES,ES,M,50
2021,Principal Data Scientist,MI,FT,12014995,US,US,L,100
2021,Machine Learning Scientist,SE,FT,9548340,US,US,S,50
2021,Data Scientist,MI,FT,753205,IN,IN,S,0
2021,Machine Learning Engineer,EN,FT,1591390,IN,IN,S,100
2021,Lead Data Scientist,SE,FT,3228135,IN,IN,L,50
2021,Machine Learning Developer,EN,FT,7956950,IQ,IQ,S,50
2021,Data Scientist,EN,FT,3950307,FR,FR,M,50
2021,Applied Machine Learning Scientist,MI,FT,3055469,VN,US,M,100
2021,Computer Vision Engineer,SE,FT,1909668,BR,BR,M,100
2021,Data Scientist,EN,FT,7956950,US,US,S,0
2021,Data Analyst,MI,FT,7161255,US,US,M,100
2021,ML Engineer,MI,FT,5069452,JP,JP,S,50
2021,ML Engineer,MI,FT,6155815,JP,JP,S,50
2021,Principal Data Scientist,SE,FT,17505290,US,US,L,0
2021,Data Scientist,EN,FT,6365560,US,US,M,100
2021,Data Analyst,MI,FT,10741883,US,US,L,100
2021,Data Science Manager,SE,FT,19096680,US,US,L,0
2021,Data Engineering Manager,SE,FT,11935425,US,US,L,0
2021,Data Scientist,MI,FT,6564484,US,US,S,100
2021,Data Engineer,MI,FT,7956950,US,US,L,100
2021,Machine Learning Engineer,SE,FT,6583899,BE,BE,M,50
2021,Research Scientist,MI,FT,4984950,FR,FR,M,50
2021,Data Engineer,MI,FT,7161255,US,US,L,100
2021,Data Engineering Manager,SE,FT,12174134,US,US,L,100
2021,Cloud Data Engineer,SE,FT,12731120,BR,US,S,100
2021,Director of Data Science,SE,FT,13367676,JP,JP,S,0
2021,Data Scientist,MI,FT,11935425,US,US,M,100
2021,Data Scientist,MI,FT,6029299,CA,CA,L,100
2021,Data Scientist,EN,FT,1066231,UA,UA,L,100
2021,Data Science Manager,SE,FT,11458008,US,US,L,100
2021,Data Science Engineer,SE,FT,10122911,CA,CA,L,50
2021,Data Scientist,MI,FT,9473465,SG,IL,M,100
2021,Applied Machine Learning Scientist,MI,FT,33657899,US,US,L,50
2021,Data Analytics Manager,SE,FT,9548340,US,US,M,100
2021,Machine Learning Engineer,EN,FT,9946188,US,US,S,100
2021,Head of Data,EX,FT,18300985,RU,RU,L,50
2021,Head of Data Science,EX,FT,6763408,RU,RU,M,0
2021,Data Engineer,MI,FT,2257307,MT,MT,L,50
2021,Data Science Consultant,EN,FT,5079001,DE,DE,L,50
2021,Director of Data Science,EX,FT,10346104,DE,DE,M,50
2021,Data Specialist,SE,FT,13128968,US,US,L,100
2021,Data Engineer,EN,FT,6365560,US,US,L,100
2021,Director of Data Science,EX,FT,19892375,US,US,L,0
2021,BI Data Analyst,EN,FT,4376323,US,US,S,50
2021,Data Architect,MI,FT,11935425,US,US,L,100
2021,Data Architect,MI,FT,13526815,US,US,L,100
2021,Data Engineer,MI,FT,6566712,GB,GB,L,100
2021,Data Analyst,EN,FT,4774170,US,US,S,100
2021,Principal Data Scientist,SE,FT,18698833,US,US,L,100
2021,Research Scientist,SE,FT,4834404,PT,PT,L,50
2021,Data Engineering Manager,SE,FT,13845093,US,US,L,100
2021,Data Scientist,MI,FT,227489,MX,MX,S,0
2021,Data Scientist,MI,FT,3185804,CL,CL,L,100
2021,Machine Learning Engineer,EN,FT,6445130,US,US,S,50
2021,Data Scientist,MI,FT,451875,IN,US,S,100
2021,Big Data Engineer,MI,FT,1799146,IN,IN,L,0
2021,Data Scientist,MI,FT,7219659,DE,DE,L,50
2021,Data Engineer,MI,FT,2069205,RO,US,L,0
2021,Finance Data Analyst,SE,FT,4925034,GB,GB,L,50
2021,Machine Learning Scientist,MI,FL,954834,PK,PK,M,50
2021,Data Engineer,MI,FT,318278,IR,IR,M,100
2021,Data Analytics Engineer,SE,FT,3978475,VN,GB,M,100
2021,Data Science Consultant,EX,FT,5549256,FR,ES,S,100
2021,Data Engineer,SE,FT,6113563,RO,GB,S,50
2021,Machine Learning Engineer,MI,FT,5888143,JP,JP,S,50
2021,Data Science Manager,SE,FT,12094564,US,FR,L,100
2021,Machine Learning Engineer,EN,FT,1738116,CO,CO,M,50
2021,Big Data Engineer,MI,FT,1432251,MD,MD,S,0
2021,Data Science Manager,SE,FT,13845093,US,US,L,100
2021,Research Scientist,SE,FT,7647663,CA,CA,L,50
2021,Data Scientist,MI,FT,11696717,US,US,L,50
2021,BI Data Analyst,EN,FT,737768,KE,KE,S,100
2021,Machine Learning Engineer,SE,FT,1936881,IN,IN,L,100
2021,Data Science Manager,SE,FT,4304233,IN,US,L,50
2021,Data Science Consultant,EN,FT,7161255,US,US,S,100
2021,Data Scientist,MI,FT,4890898,DE,AT,M,50
2021,Machine Learning Infrastructure Engineer,SE,FT,15516053,US,US,M,100
2021,Data Scientist,MI,FT,3009716,ES,ES,L,100
2021,Research Scientist,SE,FT,3978475,FR,US,S,100
2021,Data Scientist,MI,FT,12731120,US,US,L,100
2021,Data Scientist,MI,FT,1026526,BR,BR,S,0
2021,Machine Learning Engineer,SE,FT,15913900,US,US,L,100
2021,Data Engineer,SE,FT,13128968,US,US,M,0
2021,Data Engineer,MI,FL,1591390,IT,US,L,0
2021,Data Analytics Manager,SE,FT,9548340,US,US,L,0
2021,Machine Learning Engineer,MI,FT,1975154,SI,SI,L,50
2021,Research Scientist,MI,FT,4514614,FR,FR,S,50
2021,Data Engineer,MI,FT,5253338,HK,GB,S,50
2021,Big Data Engineer,EN,FT,468028,IN,CH,L,0
2021,Machine Learning Engineer,EN,FT,1975154,DE,DE,M,50
2021,Principal Data Engineer,SE,FT,14720358,US,US,L,100
2021,Computer Vision Engineer,EN,PT,2276404,DK,DK,S,50
2021,Data Scientist,MI,FT,7219659,DE,DE,L,50
2021,Machine Learning Engineer,MI,FT,7054154,BE,BE,M,100
2021,Data Analytics Manager,SE,FT,11139730,US,US,L,100
2021,Machine Learning Engineer,MI,FT,3707700,PL,PL,L,100
2021,Data Scientist,MI,FT,9302789,GB,GB,L,50
2021,Data Scientist,MI,FT,2690086,IN,IN,M,0
2021,Data Scientist,MI,FT,4476262,GB,GB,L,50
2021,Machine Learning Scientist,SE,FT,17903138,US,CA,L,100
2021,Principal Data Scientist,EX,CT,33100912,US,US,S,100
2021,Data Scientist,SE,FT,6981269,CA,CA,S,100
2021,Data Scientist,MI,FT,7054154,DE,DE,L,50
2021,Data Scientist,SE,FT,10741883,US,US,L,0
2021,Data Analyst,SE,FT,5711976,CA,CA,M,100
2021,Big Data Engineer,EN,FT,1291254,IN,IN,L,100
2021,ML Engineer,SE,FT,20369792,US,US,S,100
2021,Director of Data Engineering,SE,FT,15913900,US,US,L,100
2021,Data Analyst,SE,FT,15913900,US,US,L,100
2021,Data Architect,MI,FT,14322510,US,US,L,100
2021,Head of Data Science,MI,FT,8752645,US,US,S,0
2021,Research Scientist,MI,FT,5077330,CA,CA,M,100
2021,Data Scientist,MI,FT,3724569,ES,ES,M,100
2021,Data Scientist,EN,FT,318278,VN,VN,M,0
2021,Data Engineer,EN,FT,1721645,IN,IN,M,50
2021,Data Scientist,SE,FT,8250641,CA,CA,L,100
2021,Data Analyst,MI,FT,6365560,US,US,L,100
2021,Data Engineer,MI,FT,8752645,US,US,L,100
2021,Data Scientist,SE,FT,13128968,US,US,L,100
2021,AI Scientist,EN,FT,1436468,IN,AS,S,100
2021,Data Engineer,MI,FT,5745873,GB,GB,L,50
2021,Data Scientist,EN,FT,2915665,FR,FR,L,50
2021,Data Engineer,MI,FT,963030,TR,TR,M,0
2021,Data Engineer,SE,FT,7661111,GB,GB,L,50
2021,Principal Data Analyst,SE,FT,13526815,US,US,M,100
2021,Data Scientist,MI,FT,9150493,US,US,L,50
2021,Data Scientist,EN,FT,7161255,US,US,S,100
2021,Principal Data Engineer,EX,FT,47741700,US,US,L,100
2021,Data Scientist,EN,FT,2259694,IN,IN,M,100
2021,Data Analyst,MI,FT,7399964,US,US,L,100
2021,Big Data Architect,SE,FT,7933318,CA,CA,M,50
2021,Data Engineer,MI,FT,15913900,US,US,L,100
2021,Principal Data Scientist,SE,FT,13826155,DE,DE,M,100
2021,Machine Learning Engineer,SE,FT,14720358,US,US,L,50
2021,Director of Data Science,EX,FT,11286615,DE,DE,L,0
2021,Data Scientist,MI,FT,10344035,US,US,L,50
2021,Data Analyst,SE,FT,5079001,DE,DE,L,50
2021,Data Scientist,MI,FT,1345043,IN,IN,S,100
2021,Machine Learning Engineer,SE,FT,5272673,IN,IN,L,0
2021,Data Scientist,MI,FT,2031568,RS,DE,S,100
2021,Lead Data Engineer,SE,FT,12731120,PR,US,S,50
2021,Data Engineer,MI,FT,7411899,US,US,M,0
2021,Data Engineer,MI,FT,8893881,US,US,M,0
2021,Data Engineer,MI,FT,2229219,TR,TR,M,100
2021,Data Engineer,EN,FT,5173052,DE,DE,M,50
2021,Data Engineer,EN,FT,5768789,US,US,L,100
2021,Computer Vision Engineer,SE,FT,1504421,BR,BR,M,0
2021,Data Science Consultant,EN,FT,6113563,DE,DE,L,0
2021,Machine Learning Engineer,EN,FT,6763408,NL,DE,S,100
2021,Data Scientist,SE,FT,6181277,FR,FR,M,50
2021,Data Scientist,EN,FT,7956950,US,US,M,100
2021,Data Scientist,EN,FT,4615031,US,US,L,50
2021,AI Scientist,SE,FT,4376323,ES,ES,L,100
2021,Data Scientist,SE,FT,1604996,TR,TR,L,50
2021,Business Data Analyst,EN,FT,4702717,LU,LU,L,100
2021,Data Engineer,MI,FT,8911784,US,US,L,100
2021,Research Scientist,EN,FT,7956950,JE,CN,L,0
2021,Data Engineer,MI,PT,5549256,NL,NL,L,100
2021,Staff Data Scientist,SE,CT,8354798,US,US,M,100
2021,Research Scientist,MI,FT,5569785,CZ,CZ,L,50
2021,Data Science Manager,SE,FT,7532447,IN,IN,L,50
2021,Head of Data,SE,FT,8182848,SI,SI,L,100
2021,Data Scientist,MI,FT,8673076,US,US,L,50
2021,Machine Learning Engineer,MI,FT,4063137,IT,IT,L,50
2022,Data Engineer,SE,FT,10741883,US,US,M,100
2022,Data Analyst,SE,FT,12333273,US,US,M,100
2022,Data Analyst,SE,FT,9596082,US,US,M,100
2022,Data Scientist,MI,FT,10344035,US,US,M,0
2022,Data Scientist,MI,FT,7161255,US,US,M,0
2022,Data Engineer,MI,FT,13526815,US,US,M,100
2022,Data Engineer,MI,FT,11935425,US,US,M,100
